Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-PR-UCL-066566;Mixing toys;PLPA
PLPA-PR-UCL-066567;Manual co-packing Odrzywolek;PLPA
PLPA-PR-UCL-066568;Kinderino;PLPA
PLPA-PR-UCL-066569;Kinder Joy T2 box;PLPA
PLPA-PR-UCL-066570;Snack CAL295;PLPA
PLPA-PR-UCL-076566;Manual co-packing Lub CAL 149/203;PLPA
PLPA-PR-UCL-076567;Manual co-packing Lub CAL 351/236;PLPA
PLPA-PR-UCL-076568;Manual co-packing Lub CAL404;PLPA
PLPA-PR-UCL-076569;Manual co-packing Lub Mix bag;PLPA
PLPA-UT;Ferrero Polska Utilities;PLPA
PLPA-UT-001;Energetyka - Elektryczność;PLPA
PLPA-UT-001-100000;Energetyka - Elektryczność;PLPA
PLPA-UT-001-100000-001;Energetyka - Elektryczność;PLPA
PLPA-UT-021;DUP-Dział Urządzeń Pomocniczych;PLPA
PLPA-UT-021-100000;ENERGETYKA;PLPA
PLPA-UT-021-100000-001;Woda;PLPA
PLPA-UT-021-100000-002;XXXX;PLPA
PLPA-UT-021-100000-003;Gaz;PLPA
PLPA-UT-021-100000-004;Sprężone powietrze;PLPA
PLPA-UT-021-100000-005;Woda i próżnia;PLPA
PLPA-UT-021-100000-006;Ścieki;PLPA
PLPA-UT-021-100000-007;Gorąca woda;PLPA
PLPA-UT-021-100001;URZĄDZENIA ENERGETYCZNE NA LINIACH PROD.;PLPA
PLPA-UT-021-100001-001;RAF;PLPA
PLPA-UT-021-100001-002;KJ;PLPA
PLPA-UT-021-100001-003;KS;PLPA
PLPA-UT-021-100001-004;Ermetico;PLPA
PLPA-UT-021-100001-005;FC OPM;PLPA
PLPA-UT-021-100001-006;C Roche;PLPA
PLPA-UT-021-100001-007;C Summ;PLPA
PLPA-UT-021-100001-008;TT;PLPA
PLPA-UT-021-100001-009;NUT;PLPA
PLPA-UT-021-100001-010;Plastik;PLPA
PLPA-UT-021-100001-011;PREP;PLPA
PLPA-UT-021-100001-012;KBW;PLPA
PLPA-UT-021-100001-013;Multipa;PLPA
PLPA-UT-021-100001-014;KB 2;PLPA
PLPA-UT-021-100001-015;KB 3;PLPA
PLPA-UT-021-100001-016;Labolatorium;PLPA
PLPA-UT-021-100001-017;Magazyn Surowców;PLPA
PLPA-UT-021-100001-018;Magazyn Wyrobów Gotowych;PLPA
PLPA-UT-021-100001-019;Hala Paletyzacji;PLPA
PLPA-UT-021-100001-020;Magazyn Exportowy;PLPA
PLPA-UT-021-100002;KOTŁOWNIE;PLPA
PLPA-UT-021-100002-001;KOTŁOWNIA NR.1;PLPA
PLPA-UT-021-100002-002;KOTŁOWNIA NR.2  - DEZO 3;PLPA
PLPA-UT-021-100003;URZĄDZENIA POMOCNICZE;PLPA
PLPA-UT-021-100003-001;SILNIK JENBACHER;PLPA
PLPA-UT-021-100003-002;TURBINA MERCURY M50;PLPA
PLPA-UT-021-100003-003;KOMPRESOR GAZU;PLPA
PLPA-UT-021-100004;KLIMATYZACJA;PLPA
PLPA-UT-021-100004-001;HALA RAFFAELLO - BUDYNEK 6;PLPA
PLPA-UT-021-100004-002;MAGAZYN OPAKOWAŃ - BUDYNEK 5;PLPA
PLPA-UT-021-100004-003;MAGAZYN OPAKOWAŃ-ZAŁADUNEK-BUDYNEK 5;PLPA
PLPA-UT-021-100004-004;HALA FC/KB2 - BUDYNEK 16;PLPA
PLPA-UT-021-100004-005;HALA KJ/KB3/NUT/PLASTIKI - BUDYNEK 15;PLPA
PLPA-UT-021-100004-006;HALA B-READY - BUDYNEK 17;PLPA
PLPA-UT-021-100004-007;HUB-HALA WYSYŁEK - BUDYNEK 18 (A);PLPA
PLPA-UT-021-100004-008;HUB SILOS - BUDYNEK 18;PLPA
PLPA-UT-021-100004-009;HUB SILOS - BUDYNEK 18;PLPA
PLPA-UT-021-100004-010;MAGAZYN SUROWCOW- BUDYNEK 9;PLPA
PLPA-UT-021-100004-011;DEZODORATOR/TICTAC - BUDYNEK 7;PLPA
PLPA-UT-021-100004-012;WARSZTAT MECHANICZNY - BUDYNEK 12;PLPA
PLPA-UT-021-100004-013;ODPRAWA CELNA - BUDYNEK 5;PLPA
PLPA-UT-021-100004-014;BIUROWIEC (HALA RAFFAELLO)-BUDYNEK 6;PLPA
PLPA-UT-021-100004-015;LABORATORIUM;PLPA
PLPA-UT-021-100004-016;BIUROWIEC (B.SOCJALNY)-BUDYNEK 4;PLPA
PLPA-UT-021-100004-017;PREPARACJA 3 - BUDYNEK 14;PLPA
PLPA-UT-021-100004-018;OLEJARNIA 3 - BUDYNEK 21;PLPA
PLPA-UT-021-100004-019;ODRZYWOŁEK;PLPA
PLPA-UT-021-100004-020;LUBLIN;PLPA
PLPA-UT-031;XXX  NIE UŻYWAĆ  XXX;PLPA
PLPA-UT-041;Aminex,Myjki,Control Room,Mielenie odpad;PLPA
PLPA-UT-041-10000--05;Washing machine 4;PLPA
PLPA-UT-041-100000;Aminex,Myjki,Control Room,Mielenie odpad;PLPA
PLPA-UT-041-100000-001;Aminex (Ogólna produkcja);PLPA
PLPA-UT-041-100000-002;Myjka obszaru KS;PLPA
PLPA-UT-041-100000-003;Myjka obszaru FC;PLPA
PLPA-UT-041-100000-004;Myjka obszaru B-READY;PLPA
PLPA-UT-041-100000-005;Washing machine 4 RAF/TAB;PLPA
PLPA-UT-041-100000-006;Washing machine 5;PLPA
PLPA-UT-041-100000-007;Control room;PLPA
PLPA-UT-041-100000-008;Mielenie odpadów;PLPA
PLPA-ZZ;Inne koszty;PLPA
PLPA-ZZ-001;Inne koszty;PLPA
PLPA-ZZ-001-999999;Inne koszty;PLPA
PLPA-ZZ-001-999999-001;Szkolenia i inne koszty;PLPA
PLPA-ZZ-001-999999-002;Zebrania związkowe;PLPA
PLPA-ZZ-001-999999-999;Basket;PLPA
