Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-LG-020-100000;Automatyka magazynowa;PLPA
PLPA-LG-020-100000-001;Ring;PLPA
PLPA-LG-030;Magazyn HUB;PLPA
PLPA-LG-040;;PLPA
PLPA-OF;Warsztaty;PLPA
PLPA-OF-001;Warsztaty;PLPA
PLPA-OF-001-100000;Warsztaty;PLPA
PLPA-OF-001-100000-101;Warsztaty;PLPA
PLPA-PR;Ferrero Polska Produkcja;PLPA
PLPA-PR-001;(NIE UŻYWAĆ) UGP1 RAF KJ;PLPA
PLPA-PR-001-010320;Kinder Joy;PLPA
PLPA-PR-001-010320-001;KJ Strefa wypieku wafla;PLPA
PLPA-PR-001-010320-002;KJ Modelator Tartufino;PLPA
PLPA-PR-001-010322;KJ Recupero sorprese;PLPA
PLPA-PR-001-010322-001;KJ Odzysk zabawek;PLPA
PLPA-PR-001-010325;Kinder Joy packing line 1;PLPA
PLPA-PR-001-010325-001;KJ 1 Modelator;PLPA
PLPA-PR-001-010325-002;KJ 1 Pakowanie;PLPA
PLPA-PR-001-010326;Kinder Joy packing line 2;PLPA
PLPA-PR-001-010326-001;KJ 2 Modelator;PLPA
PLPA-PR-001-010326-002;KJ 2 Pakowanie;PLPA
PLPA-PR-001-010335;Kinder Joy T3 valigetta;PLPA
PLPA-PR-001-010335-001;KJ T3 Valigetta;PLPA
PLPA-PR-001-010337;Kinder Joy T3 box;PLPA
PLPA-PR-001-010337-001;KJ T3 Schubert;PLPA
PLPA-PR-001-010701--10;Linia ważąco-pakująca 10 RA;PLPA
PLPA-PR-001-010703;Raffaello;PLPA
PLPA-PR-001-010703-001;Piece z nawilżaczami RA;PLPA
PLPA-PR-001-010703-002;Modelator RA;PLPA
PLPA-PR-001-010703-003;Linie pakujące T1-0,1,4,5,6,7 RA;PLPA
PLPA-PR-001-010703-004;Linie ważąco-pakujące 1,2,3,4 RA;PLPA
PLPA-PR-001-010703-005;Linie pakujące T1,T3,T4 - 2,3 RA;PLPA
PLPA-PR-001-010703-006;Linia ważąco-pakująca 9 RA (Vrac);PLPA
PLPA-PR-001-010703-007;System dystrybucji T1;PLPA
PLPA-PR-001-010703-008;Linia ważąco-pakująca 10 RA T45 L19;PLPA
PLPA-PR-001-010703-009;Linia ważąco-pakująca 11 RA T8 L.21;PLPA
PLPA-PR-001-010703-010;Linia ważąco-pakująca 12 RA T9;PLPA
PLPA-PR-001-010709-001;Linia ważąco-pakująca 12 RA(nie logować);PLPA
PLPA-PR-001-010716;Raffaello T23/T30 latta;PLPA
PLPA-PR-001-010716-001;Linia ważąco-pakująca 8 RA;PLPA
PLPA-PR-001-010716-002;Linia ważąco-pakująca 7 RA;PLPA
PLPA-PR-001-010717;RAF ermetico;PLPA
PLPA-PR-001-010717-001;Linia pakująca Ermetico RA;PLPA
PLPA-PR-001-010717-002;RAF special conf.4;PLPA
PLPA-PR-001-010717-003;RAF special conf.4;PLPA
PLPA-PR-001-010718-001;;PLPA
PLPA-PR-001-010719;RA Cubo/Piatta/Bauletto;PLPA
PLPA-PR-001-010719-001;RAF Piatta T25;PLPA
PLPA-PR-001-010720;Raffaello T30;PLPA
PLPA-PR-001-010720-001;Linia ważąco-pakująca 5,6 RA;PLPA
PLPA-PR-001-090001;Obsługa wózków widłowych UGP1;PLPA
PLPA-PR-001-090001-001;Serwis wózków widłowych UGP1;PLPA
PLPA-PR-001-090001-002;Wynajem wózków widłowych UGP1;PLPA
PLPA-PR-001-090001-003;Części zamienne wózków widłowych UGP1;PLPA
PLPA-PR-001-100001-004;Obsługa wózków widłowych HUB;PLPA
PLPA-PR-011;(NIE UŻYWAĆ) UGP2 KS FC;PLPA
PLPA-PR-011-010121;Kinder Surprise;PLPA
PLPA-PR-011-010121-001;KS Modelator;PLPA
