Tydzień;Tydzień;Rok;Od;Do;Linia;Rodzina;QL (TOT) Akt;QL (TOT) Pln;% Dvt Produk.;Zmiana Czysty;Zmiana Prg;Q/Zm. Standard;Q/Zm. Akt;Q/Zm. Docel;Q/CPK Akt;Q/CPK Docel;Ope/LN Sh. Akt;Ope/LN Sh. Docel;Ope/EL Sh. Akt;Ope/EL Sh. Docel;G/QL Akt;G/QL Docel;% S.C. Eff;% S.C. Std.;% SR Eff;% SR Std.;% SF/SP Eff;% SF/SP Std.;Godz. Prac. Akt;Godz./Prac. Docel;% Eff LINIA Eff;% Eff LINIA Obb;% Eff Prac. Eff;% Eff Prac. Obb;% Zysku Eff;% Zysku Obb
W21;21;2025;19.05.2025;25.05.2025;10718;1509;100,35;100,00;0,35;3,81;3,80;32,90;26,32;26,32;26,32;26,32;7,38;7,40;0,00;0,00;2,24;2,25;0,10;0,10;0,00;0,00;0,00;0,00;225,00;225,71;80,01;80,00;80,25;80,00;80,01;80,00
W21;21;2025;19.05.2025;25.05.2025;10718;1526;22,15;22,01;0,65;0,78;0,77;35,64;28,58;28,51;28,58;28,51;6,94;7,00;0,00;0,00;1,94;1,96;0,10;0,10;0,00;0,00;0,00;0,00;43,00;43,50;80,18;80,00;80,93;80,00;80,18;80,00
W21;21;2025;19.05.2025;25.05.2025;10721;1516;159,17;158,98;0,12;16,75;16,73;11,75;9,50;9,50;9,50;9,50;9,02;9,02;0,22;0,23;7,78;7,79;0,50;0,50;0,00;0,00;0,00;0,00;1239,00;1239,11;80,85;80,85;80,86;80,85;80,85;80,85
W21;21;2025;19.05.2025;25.05.2025;10799;1503;480,06;480,06;0,00;0,00;2,00;271,43;0,00;0,00;0,00;240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88,42
W22;22;2025;26.05.2025;01.06.2025;10703;1503;4333,17;4683,12;-7,47;19,50;19,51;271,43;222,21;240,00;222,21;240,00;47,97;51,05;3,35;4,37;1,85;1,85;0,95;1,21;0,85;0,70;12,23;12,04;8005,00;8005,52;81,87;88,42;88,43;88,42;81,87;88,42
W22;22;2025;26.05.2025;01.06.2025;10716;1526;318,49;318,00;0,16;11,33;11,31;35,64;28,11;28,11;28,11;28,11;7,00;7,00;0,00;0,00;1,99;1,99;0,10;0,10;0,00;0,00;0,00;0,00;634,00;634,46;78,88;78,87;78,93;78,87;78,88;78,87
W22;22;2025;26.05.2025;01.06.2025;10717;1519;1045,49;1097,87;-4,77;19,00;18,30;77,11;55,03;60,00;55,03;60,00;32,31;33,01;0,36;2,61;4,75;4,75;4,95;5,01;0,00;0,00;0,00;0,00;4965,00;4965,24;71,36;77,81;77,81;77,81;71,36;77,81
W22;22;2025;26.05.2025;01.06.2025;10721;1516;162,22;162,00;0,14;17,07;17,05;11,75;9,50;9,50;9,50;9,50;9,02;9,02;0,22;0,23;7,78;7,79;0,50;0,50;0,00;0,00;0,00;0,00;1262,00;1262,87;80,86;80,85;80,91;80,85;80,86;80,85
W22;22;2025;26.05.2025;01.06.2025;10799;1503;487,44;480,00;1,55;2,00;2,00;271,43;243,72;240,00;243,72;240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89,79;88,42;0,00;0,00;89,79;88,42
W23;23;2025;02.06.2025;08.06.2025;10703;1503;4403,38;4635,01;-5,00;19,50;19,31;271,44;225,81;240,00;225,81;240,00;46,23;49,41;3,59;4,37;1,77;1,79;1,21;1,21;0,76;0,70;12,50;12,05;7772,00;7893,62;83,19;88,42;89,80;88,42;83,19;88,42
W23;23;2025;02.06.2025;08.06.2025;10709;1524;157,64;157,00;0,41;14,90;14,84;13,22;10,58;10,58;10,58;10,58;11,00;11,00;0,17;0,18;8,44;8,45;0,79;0,80;0,00;0,00;0,00;0,00;1331,00;1332,21;80,04;80,04;80,11;80,04;80,04;80,04
W23;23;2025;02.06.2025;08.06.2025;10716;1509;90,67;89,82;0,95;3,22;3,20;33,41;28,13;28,12;28,13;28,11;7,68;7,72;0,00;0,00;2,18;2,20;0,10;0,10;0,00;0,00;0,00;0,00;198,00;199,07;84,20;84,17;84,73;84,28;84,20;84,14
W23;23;2025;02.06.2025;08.06.2025;10716;1526;33,86;33,00;2,60;1,20;1,17;35,64;28,12;28,11;28,12;28,11;6,96;7,00;0,00;0,00;1,98;1,99;0,10;0,10;0,00;0,00;0,00;0,00;67,00;67,45;78,90;78,87;79,40;78,87;78,90;78,87
W23;23;2025;02.06.2025;08.06.2025;10717;1519;1044,02;1168,93;-10,69;19,50;19,48;77,11;53,54;60,00;53,54;60,00;30,05;33,01;1,73;2,61;4,75;4,75;4,94;5,01;0,00;0,00;0,00;0,00;4958,00;4958,27;69,43;77,81;77,81;77,81;69,43;77,81
W23;23;2025;02.06.2025;08.06.2025;10721;1516;142,67;141,41;0,89;15,02;14,89;11,75;9,50;9,50;9,50;9,50;9,29;9,29;0,22;0,23;8,01;8,01;0,50;0,50;0,00;0,00;0,00;0,00;1142,00;1143,10;80,85;80,85;80,93;80,85;80,85;80,85
W23;23;2025;02.06.2025;08.06.2025;10799;1503;425,69;425,69;0,00;1,75;1,77;271,43;243,25;240,00;243,25;240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89,62;88,42;0,00;0,00;89,62;88,42
W24;24;2025;09.06.2025;15.06.2025;10703;1503;3870,70;4687,38;-17,42;19,35;19,53;271,43;200,04;240,00;200,04;240,00;50,76;51,42;4,03;4,37;2,19;1,86;1,32;1,21;0,83;0,70;12,07;12,04;8481,00;7198,76;73,70;88,42;75,05;88,42;73,70;88,42
