Rdz.;Oznaczenie
M004;Internal Order Other Costs Schweiz
M010;Internal Orders Invest Soremartec MC20
M020;Internal Orders Statist Soremartec MC20
M210;Internal Orders Investment Sodeser
M220;Internal Order Statistical Sodeser
MC01;Internal Orders Product Soremartec MC10
MC03;Internal Orders Trade Soremartec MC10
MC04;Internal Order Other Costs Schweiz
MC10;Internal Orders Invest Soremartec MC10
MC20;Internal Orders Statist Soremartec MC10
MX01;Internal Orders Product Ferrero Mexico
MX02;Internal Orders Marketing Ferrero Mexico
MX03;Internal Orders Trade Ferrero Mexico
MX04;Internal Orders Other Costs Ferrero Mexi
MX07;Internal Orders Marketing Ferrero Mexico
MX10;Internal Orders Investment Ferrero Mexic
MX20;Internal Order Statistical Ferrero Mexic
MX21;Internal Order Statistical C&D Mexic
MX60;Mx Manual R/3 order (copacker - normal)
MX61;Mx Normal production via APO
MX62;Konfekcja z APO
MX79;Czyszczenie 'Suprise'
MX82;IT Manual R/3 order (copacker - normal)
MXM1;WO - Corrective Maintenance
MXM2;WO - Preventive Maintenance (Scheduled)
MXM3;WO - Preventive Mainten. (Conditional)
MXM4;WO - Improvement Maintenance
MXM5;WO - Shut Down Maintenance
MXM6;WO - Corrective Maintenance (Postponed)
MXM7;WO - Operational Assis.during production
MXM8;WO - Operational Assis during no product
MXM9;WO - Unpredictable Cost
MXMA;WO - Others cost
MXMB;WO - New Investments (Commessa)
MXMF;WO - Building works
MXMK;WO - non - Depreciable
MY01;Internal Orders Product Australia
MY02;Internal Orders Marketing Australia
MY03;Internal Orders Trade Australia
MY04;Internal Orders Other costs Australia
MY10;Internal Order Investment Malaysia
MY20;Internal Order Statistical Australia
MY21;Internal Order Statistical C&D Malaysia
NL01;Internal Orders Product Ferrero BV
NL02;Internal Orders Marketing Ferrero BV
NL03;Internal Orders Trade Ferrero BV
NL04;Internal Orders Other Costs Ferrero BV
NL10;Internal Orders Investment Ferrero BV
NL20;Internal Order Statistical Ferrero BV
P101;Zamówienia Wewnętrzne Produkty Polska Co
P102;Zamówienia Wewnętrzne Marketing Polska C
P103;Zamówienia Wewnętrzne Handel Polska  Com
P107;Zamówienia Wewnętrzne Marketing Polska C
P110;Z.W  Polska  Inwest. Budynki w toku Comm
P120;Internal Order Statistical Polska Comm
P160;Zlec. ręczne R/3 (konf. - norm.)
P162;Konfekcja z APO
P165;Zlec. przepakow. z model.produkc.
PI01;Zlecenie proces., wew. przydział numer.
PI02;Zlecenie proces., zewn. przydział numer.
PI04;"Napełnianie/pakow. ze ""zlec. montażowym"""
PL01;Zamówienia Wewnętrzne Produkty Polska
PL02;Zamówienia Wewnętrzne Marketing Polska
PL03;Zamówienia Wewnętrzne Handel Polska
PL04;Internal Order Other Costs Polska
PL10;Z.W  Polska  Inwest. Budynki w toku
PL20;Internal Order Statistical Polska
PL60;Zlec. ręczne R/3 (konf. - norm.)
PL61;Norm. produkcja z APO
PL62;Konfekcja z APO
PL65;Zlec. przepakow. z model.produkc.
PL66;Zlecenie testowe
PL67;Zbieracz dodatkowych koszt. dla zlec. te
PL69;Zmiana kodu zlecenia Z BOM
PL79;Czyszczenie 'Suprise'
PL82;Wstęp.miesz. (figur.cave. / KGS)
PLM1;WO - Konserwacje naprawcze
PLM2;WO - Konserwacje prewencyjne (planowane)
PLM3;WO - Prewencje warunkowe
PLM4;WO - Modyfikacje usprawniające
PLM5;WO - Konserwacje na zatrzymanych maszyna
PLM6;WO - Konserwacje naprawcze (przełożone n
PLM7;WO - Asysta podczas produkcji
PLM8;WO - Asysta na maszynie bez produkcji
PLM9;WO - Nieprzewidywalne koszty
PLMA;WO - Inne koszty
PLMB;WO - Nowe inwestycje (projekty)
PLMF;WO - Prace budowlane
PLMK;WO - Brak amortyzacji
PM01;Zlecenie PM
PM02;Zlecenie obsługi
PM03;Zawiadomienie i zlecenie remontowe
PM04;Zlecenie regeneracji
PM05;Zlecenie kalibrowania
PM06;Zlecenie inwestycyjne
PP01;Standardowe zlecenie produkcyjne
PR01;Internal Orders Product Ferrero Caribe
PR02;Internal Orders Marketing Ferrero Caribe
PR03;Internal Orders Trade Ferrero Caribe
PR04;Internal Orders Other Costs FerreroCarib
PR05;Main Events Portorico
PR10;Internal Orders Investment Ferrero Carib
PR20;Internal Order Statistical Ferrero Carib
PR60;BE Manual R/3 order (copacker - normal)
PR61;BE Normal production via APO
PT60;IT Manual R/3 order (copacker - normal)
PT62;USA Co-packer production from APO
QL01;Koszty kontroli - rozlicz. zbiorcze
QL02;Koszty kontroli - rozliczenie pojedyncze
QM01;QM: Instrukcja pobrania próby
QM02;QM: Instrukcja kontroli
QM03;QM: Etykieta próby
RO01;Internal Orders Product Romania
RO02;Internal Orders Marketing Romania
RO03;Internal Orders Trade Romania
RO04;Internal Orders Other Costs  Romania
RO10;Internal Orders Investment Romania
RO20;Internal Order Statistical Romania
RO21;Internal Order Statistical C&D Romania
RS60;USA Manual R/3 order (copacker - normal)
RS61;USA Normal production from APO
RS71;USA Manual R/3 order (copacker - normal)
RU01;Internal Orders Product Russia
RU02;Internal Orders Marketing Russia
RU03;Internal Orders Trade Russia
RU04;Internal Order Other Costs Russia
RU05;Main Events Russia
RU07;Internal Orders Marketing Russia
RU10;Internal Orders Investment Russia
RU20;Internal Order Statistical Russia
RU21;Internal Order Statistical C&D Russia
RU25;Investment Internal Order Stat. Russia
RU60;USA Manual R/3 order (copacker - normal)
RU61;USA Normal production from APO
RU69;Zmiana kodu zlecenia Z BOM
RUM1;Breakdown emergency
RUM2;Preventive cycle maintenance
RUM3;Preventive condition maintenance
RUM4;Ameliorative condition maintenance
RUM5;Revisions maintenance
RUM6;Breakdown deferrable maintenance
RUM7;Operational assistance with production
RUM8;Operational assistance no production
RUM9;Extraordinary works
RUMA;Other costs
RUMB;Investment order
RUMF;Building works
RUMK;Non-depreciable assets
S101;Internal Orders Product DENMARK
S102;Internal Orders Marketing DENMARK
S103;Internal Orders Trade  DENMARK
S104;Internal Orders Other Costs Canada
S110;Internal Orders Investment Canada
S120;Internal Order Statistical Canada
S201;Internal Orders Product Norway
S202;Internal Orders Marketing Norway
S203;Internal Orders Trade Norway
S204;Internal Orders Other Costs Denmark
S210;Internal Orders Investment Denmark
S220;Internal Order Statistical Denmark
S301;Internal Orders Product Finland
S302;Internal Orders Marketing Finland
