Urządzenie;Oznaczenie;Ważne do;Zakład planow.
10079731;1-Wymiennik ciepła/dekrystalizator 1;31.12.9999;PLPA
10079732;1-Wymiennik ciepła/dekrystalizator 2;31.12.9999;PLPA
10079733;1-Roboty przekładacze;31.12.9999;PLPA
10079734;2-Robot -przekładacz;31.12.9999;PLPA
10079735;2-Robot -przekładacz;31.12.9999;PLPA
10079736;2-Robot -przekładacz;31.12.9999;PLPA
10079737;2-Robot -przekładacz;31.12.9999;PLPA
10079738;1-Komplety form Aasted;31.12.9999;PLPA
10079739;2-ks-Komplet form figura cava, zając 110;31.12.9999;PLPA
10079740;2-ks-Komplet form figura cava, babon 55;31.12.9999;PLPA
10079741;2-ks-Komplet form figura cava, zając 55g;31.12.9999;PLPA
10079742;2-ks-Komplet form figura cava, babon 15;31.12.9999;PLPA
10079743;2-ks-Komplet form figura cava, babon nat;31.12.9999;PLPA
10079744;2-ks-Komplet form figura cava, babon nat;31.12.9999;PLPA
10079745;2-ks-Komplet form figura cava, babon nat;31.12.9999;PLPA
10079746;"2-Formy 50g Babbo Natale-100*front;200*";31.12.9999;PLPA
10079747;2-Formy Babbo Natale 110g 200*Face 200*B;31.12.9999;PLPA
10079748;2-ks-Komplet form figura cava, babo n 11;31.12.9999;PLPA
10079749;2-Formy 15g Mini Babbo Natale /Agathon/;31.12.9999;PLPA
10079750;"2-Formy 100g Coniglio -300*front;700*re";31.12.9999;PLPA
10079751;2-Formy 100g Mini Babbo Natale-250*fron;31.12.9999;PLPA
10079752;1-Capri Cavi Fig.Cava 110g-Aut. oklejacz;31.12.9999;PLPA
10079753;1-Maszyna pakująca Chocal Birillone G140;31.12.9999;PLPA
10079754;1-Transporter;31.12.9999;PLPA
10079755;1-Etykieciarka;31.12.9999;PLPA
10079756;2-Capri Cavi Fig.Cava 110g-FC110g-Zasila;31.12.9999;PLPA
10079757;2-Capri Cavi Fig.Cava 110g-FC110g-Powiet;31.12.9999;PLPA
10079758;1-Capri Cavi Fig.Cava 15g-Automatyczny o;31.12.9999;PLPA
10079759;2-Capri Cavi Fig.Cava 15g-Pakowaczka;31.12.9999;PLPA
10079760;2-Capri Cavi Fig.Cava 15g-Transporter;31.12.9999;PLPA
10079761;2-Capri Cavi Fig.Cava 15g-FC15 - Zasilan;31.12.9999;PLPA
10079762;2-Capri Cavi Fig.Cava 15g-FC15 - Powietr;31.12.9999;PLPA
10079763;2-FC15g Oklejarka do kartonów 3M MATIC t;31.12.9999;PLPA
10079764;2-FC15g Klejarka CONCEPT 4/4 KPC12IK44;31.12.9999;PLPA
10079765;2-FC15g Klejarka CONCEPT 4/4 KPC12IK44;31.12.9999;PLPA
10079766;1-Owijarka do folii stretch VMS15 STANDA;31.12.9999;PLPA
10079767;1-FC15g Wrapping Machinery type RU 15g B;31.12.9999;PLPA
10079768;2-FC15g Wrapping Machinery type RU 15g B;31.12.9999;PLPA
10079769;2-Capri Cavi Fig.Cava 15g-Transporter po;31.12.9999;PLPA
10079770;2-Transporter płytkowy Flex link;31.12.9999;PLPA
10079771;2-Transporter polikordowy;31.12.9999;PLPA
10079772;2-Modelator FC - Klejarka CONCEPT 4/4 KP;31.12.9999;PLPA
10079773;1-Maszyna pakująca Chocal T160 1;31.12.9999;PLPA
10079774;2-Capri Cavi Fig.Cava 110g-Transporter p;31.12.9999;PLPA
10079775;2-Etykieciarka Chocal T160 1;31.12.9999;PLPA
10079776;2-URZĄDZENIE RENTGENOWSKIE EAGLE PACK 43;31.12.9999;PLPA
10079777;2-Modelator FC - Klejarka CONCEPT 4/4 KP;31.12.9999;PLPA
10079778;1-Maszyna pakująca IFC T55;31.12.9999;PLPA
10079779;1-Robot przekładacz IFC T55;31.12.9999;PLPA
10079780;2-Modelator FC - Klejarka CONCEPT 4/4 KP;31.12.9999;PLPA
10079781;1-Kartoniarka IFC T55;31.12.9999;PLPA
10079782;2-FC 110-Zespół transporterów Flex-link;31.12.9999;PLPA
10079783;1-Maszyna pakująca IFC T110;31.12.9999;PLPA
10079784;2-Modelator FC -Zespół transp.typ flex-l;31.12.9999;PLPA
10079785;1-Maszyna pakująca IFC T100 1;31.12.9999;PLPA
10079786;2-Plus Transporter z formami do jajek 10;31.12.9999;PLPA
10079787;2-Modelator FC - Klejarka CONCEPT 4/4 KP;31.12.9999;PLPA
10079788;2-KLEJARKA CONCEPT 4/4 KPC12IK44;31.12.9999;PLPA
10079789;1-Maszyna pakująca Chocal T75 1;31.12.9999;PLPA
10079790;1-6414-Dekrystalizatory-Nutella T200;31.12.9999;PLPA
10079791;1-Nutella T200-Temperówka;31.12.9999;PLPA
10079792;2-Nutella T200-Stół obrotowy;31.12.9999;PLPA
10079793;2-Nutella T200-Stół obrotowy;31.12.9999;PLPA
10079794;2-Nutella T200-Stół obrotowy;31.12.9999;PLPA
10079795;2-Nutella T200-Dmucharka;31.12.9999;PLPA
10079796;2-Nutella T200-Nalewarka;31.12.9999;PLPA
10079797;2-Nutella T200-Dystrybutor pokrywek;31.12.9999;PLPA
10079798;2-Nutella T200-Dystrybutor pokrywek;31.12.9999;PLPA
10079799;2-Nutella T200-Kapslownica;31.12.9999;PLPA
10079800;2-Nutella T200-Wypychacz;31.12.9999;PLPA
10079801;2-Nutella T200-Wypychacz;31.12.9999;PLPA
10079802;2-Nutella T180-Kapslownica;31.12.9999;PLPA
10079803;2-Nutella T180-Wypychacz;31.12.9999;PLPA
10079804;2-Nutella T200-Zbiornik z mieszadłem;31.12.9999;PLPA
10079805;2-Głowica etykietująca Tecnos1.3EMC SX+z;31.12.9999;PLPA
10079806;2-Nutella T200-Etykieciarka;31.12.9999;PLPA
10079807;2-Nutella T200-Drukarka;31.12.9999;PLPA
10079808;2-Nutella T200-Etipack;31.12.9999;PLPA
10079809;2-Nutella T200-Etipack;31.12.9999;PLPA
10079810;2-6491-Etykieciarka NU T200GR/T180/T140;31.12.9999;PLPA
10079811;2-Nutella T200-Tunel grzewczy;31.12.9999;PLPA
10079812;1-Nutella T200-Kartoniarka;31.12.9999;PLPA
10079813;2-Nutella T200-tylko do Pelikana;31.12.9999;PLPA
10079814;2-Nutella T200-Zgrzewarka MIMI Uniblock;31.12.9999;PLPA
10079815;2-Nutella T200-Maszyna do nakładania koł;31.12.9999;PLPA
10079816;1-Dekrystalizatory-Nutella T400;31.12.9999;PLPA
10079817;1-Nutella T400-Temperówka;31.12.9999;PLPA
10079818;2-Nutella T400-Stół obrotowy;31.12.9999;PLPA
10079819;2-Nutella T400-Stół obrotowy;31.12.9999;PLPA
10079820;2-Nutella T400-Stół obrotowy;31.12.9999;PLPA
10079821;2-Nutella T400-Wypychacz;31.12.9999;PLPA
10079822;2-Nutella T400-Wypychacz;31.12.9999;PLPA
10079823;2-Nutella T400-Wypychacz;31.12.9999;PLPA
10079824;2-Nutella T400-Zbiornik z mieszdlem;31.12.9999;PLPA
10079825;2-Nutella T400-Nalewarka;31.12.9999;PLPA
10079826;2-Nutella T400-Dystrybutor pokrywek;31.12.9999;PLPA
10079827;2-Nutella T400-Kapslownica;31.12.9999;PLPA
10079828;2-Nutella T400-Dmucharka;31.12.9999;PLPA
10079829;1-Forma do nakrętek Nutella T.400;31.12.9999;PLPA
10079830;1-Nutella T400-Kartoniarka;31.12.9999;PLPA
10079831;2-Pakowaczka kartonów AZ78B NUTELLA T400;31.12.9999;PLPA
10079832;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079833;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079834;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079835;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079836;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079837;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079838;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079839;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079840;2-Nutella T400-Zespół transporterów lini;31.12.9999;PLPA
10079841;2-Rentgen-HEUFT eXaminer XA;31.12.9999;PLPA
10079842;2-Rentgen-HEUFT eXaminer XA;31.12.9999;PLPA
10079843;2-Rentgen-HEUFT eXaminer XA;31.12.9999;PLPA
10079844;2-Urządzenie MARKEM CimJet 331;31.12.9999;PLPA
10079845;2-Nutella T400-Drukarka;31.12.9999;PLPA
10079846;2-DRUKARKA HITACHI RXS;31.12.9999;PLPA
10079847;2-DRUKARKA HITACHI RXS;31.12.9999;PLPA
10079848;2-DRUKARKA HITACHI RXS;31.12.9999;PLPA
10079849;2-DRUKARKA HITACHI RXS;31.12.9999;PLPA
10079850;2-DRUKARKA HITACHI RXS;31.12.9999;PLPA
10079851;2-Nutella T400-Zgrzewarka MIMI Uniblock;31.12.9999;PLPA
10079852;2-Nutella T400-Etykieciarka;31.12.9999;PLPA
10079853;2-Nutella T400-Etipack;31.12.9999;PLPA
10079854;2-Nutella T400-Etipack;31.12.9999;PLPA
10079855;1-Media;31.12.9999;PLPA
10079856;2-Szafa elektryczna;31.12.9999;PLPA
10079857;2-Gorąca woda;31.12.9999;PLPA
10079858;2-Zasilanie elektryczne;31.12.9999;PLPA
10079859;2-Powietrze;31.12.9999;PLPA
10079860;1-Dekrystalizatory-Nutella T750;31.12.9999;PLPA
10079861;1-Temperówka;31.12.9999;PLPA
10079862;2-Nutella T750-Stół obrotowy;31.12.9999;PLPA
10079863;2-Nutella T750-Stół obrotowy;31.12.9999;PLPA
10079864;2-Nutella T750-Stół obrotowy;31.12.9999;PLPA
10079865;2-Nutella T750-Dmucharka;31.12.9999;PLPA
10079866;2-Nutella T750-Nalewarka;31.12.9999;PLPA
10079867;2-Nutella T750-Dystrybutor pokrywek;31.12.9999;PLPA
10079868;2-Nutella T750-Kapslownica;31.12.9999;PLPA
10079869;2-Nutella T750-Wypychacz;31.12.9999;PLPA
10079870;2-Nutella T750-Wypychacz;31.12.9999;PLPA
10079871;1-Nutella T750-Stanowisko pakowania recz;31.12.9999;PLPA
10079872;2-Nutella T750-Zgrzewarka MIMI Uniblock;31.12.9999;PLPA
10079873;2-Pakowaczka kartonów AZ78B NUTELLA T700;31.12.9999;PLPA
10079874;1-Nutella T750-Kartoniarka;31.12.9999;PLPA
10079875;2-Nutella T750-Zespół transporterów lini;31.12.9999;PLPA
10079876;2-Nutella T750-Zespół transporterów lini;31.12.9999;PLPA
10079877;2-Nutella T750-Zespół transporterów lini;31.12.9999;PLPA
10079878;2-Nutella T750-Zespół transporterów lini;31.12.9999;PLPA
